,nb_cores,environement,penalty,lambda,Duality gap interval,nb_threads,solver,Tolerance,Dataset,Primal objective,Best dual,Relative duality gap,Diff,Relative optimality gap,timestamp,epoch
0,1,cyanure_benchmark_mkl,l2,4e-10,5,4,miso,1e-05,epsilon,0.6935051589918919,-10975518.569571745,15826153.73623374,0.0,174.1651564556613,9448,5
1,1,cyanure_benchmark_mkl,l2,4e-10,5,4,miso,1e-05,epsilon,1.0675313062954621,-10975518.569571745,15826153.73623374,0.0,174.81209314100934,20361,10
2,1,cyanure_benchmark_mkl,l2,4e-10,5,4,miso,1e-05,epsilon,0.6464768476144374,-10975518.569571745,16977435.861082003,0.0,174.08381364019402,32171,15
3,1,cyanure_benchmark_mkl,l2,4e-10,5,4,miso,1e-05,epsilon,0.6071197041662375,-3966353.0833848095,6533066.977214222,0.0,174.01573930873164,43115,20
4,1,cyanure_benchmark_mkl,l2,4e-10,5,4,miso,1e-05,epsilon,0.5859955091715529,-3966353.0833848095,6768573.491267406,0.0,173.9792017115903,54874,25
5,1,cyanure_benchmark_mkl,l2,4e-10,5,4,miso,1e-05,epsilon,0.6624214545624233,-3966353.0833848095,6768573.491267406,0.0,174.1113923301933,65834,30
6,1,cyanure_benchmark_mkl,l2,4e-10,5,4,miso,1e-05,epsilon,0.5781495404026252,-3966353.0833848095,6860428.6336925365,0.0,173.9656308822103,77601,35
7,1,cyanure_benchmark_mkl,l2,4e-10,5,4,miso,1e-05,epsilon,0.5940467020543893,-3966353.0833848095,6860428.6336925365,0.0,173.99312750815363,88561,40
8,1,cyanure_benchmark_mkl,l2,4e-10,5,4,miso,1e-05,epsilon,0.6345209302093872,-3966353.0833848095,6860428.6336925365,0.0,174.06313401222664,100363,45
9,1,cyanure_benchmark_mkl,l2,4e-10,5,4,miso,1e-05,epsilon,0.8250694530384282,-3966353.0833848095,6860428.6336925365,0.0,174.39271746687461,111305,50
